symbol,name,pe_ratio
XSAB,iShares ESG Aware Canadian Aggregate Bond Index ETF,
XSB,iShares Core Canadian Short Term Bond Index ETF,
XSC,iShares Conservative Short Term Strategic Fixed Income ETF,
XSE,iShares Conservative Strategic Fixed Income ETF,
XSH,iShares Core Canadian Short Term Corporate Bond Index ETF,
XSHG,iShares ESG Advanced 1-5 Year Canadian Corporate Bond Index ETF,
XSHU,iShares 1-5 Year U.S. IG Corporate Bond Index ETF,
XSHU.U,iShares 1-5 Year U.S. IG Corporate Bond Index ETF,
XSI,iShares Short Term Strategic Fixed Income ETF,
XSMB,iShares Core Canadian Short-Mid Term Universe Bond Index ETF,
XSTB,iShares ESG Aware Canadian Short Term Bond Index ETF,
XSTH,iShares 0-5 Year TIPS Bond Index ETF (CAD-Hedged),
XSTP,iShares 0-5 Year TIPS Bond Index ETF,
XSTP.U,iShares 0-5 Year TIPS Bond Index ETF,
XTLH,iShares 20+ Year U.S. Treasury Bond Index ETF (CAD-Hedged),
XTLT,iShares 20+ Year U.S. Treasury Bond Index ETF,
XTLT.U,iShares 20+ Year U.S. Treasury Bond Index ETF,
XUH,iShares Core S&P U.S. Total Market Index ETF (CAD-Hedged),
